"CRI Rank",Country,"CRI score",Fatalities in 2019 (Rank),Fatalities per 100 000 inhab- itants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in% (Rank),VERSION DOC
130,Puerto Rico,118,106,106,130,130,2019
130,Qatar,118,106,106,130,130,2019
109,Republic of Congo,97.17,98,89,115,96,2019
53,Republic of Yemen,59.33,42,46,84,69,2019
123,Romania,104.5,106,106,77,116,2019
39,Russia,50.67,33,80,13,49,2019
42,Rwanda,53.33,45,21,99,67,2019
130,Samoa,118,106,106,130,130,2019
75,Saudi Arabia,73,48,65,50,105,2019
70,Senegal,67.5,106,106,43,22,2019
105,Serbia,92,106,106,78,78,2019
130,Seychelles,118,106,106,130,130,2019
86,Sierra Leone,76.5,67,54,116,84,2019
130,Singapore,118,106,106,130,130,2019
87,Slovak Republic,77.17,76,53,87,97,2019
103,Slovenia,91.83,106,106,85,74,2019
130,Solomon Islands,118,106,106,130,130,2019
24,South Africa,32.5,16,26,31,48,2019
8,South Sudan,17.33,12,4,64,10,2019
32,Spain,42.83,47,69,10,31,2019
30,Sri Lanka,41.83,33,24,48,61,2019
130,St. Kitts and Nevis,118,106,106,130,130,2019
130,St. Lucia,118,106,106,130,130,2019
130,St. Vincent and the Grenadines,118,106,106,130,130,2019
11,Sudan,19.83,22,25,23,12,2019
130,Suriname,118,106,106,130,130,2019
118,Sweden,100.5,106,106,69,108,2019
96,Switzerland,85.5,90,87,61,94,2019
122,Tajikistan,104.33,90,91,120,117,2019
67,Tanzania,66.5,27,47,88,95,2019
34,Thailand,43.17,36,64,19,38,2019
3,The Bahamas,6.5,30,1,5,1,2019
41,The Gambia,53.17,80,33,103,35,2019
130,Togo,118,106,106,130,130,2019
130,Tonga,118,106,106,130,130,2019
130,Trinidad and Tobago,118,106,106,130,130,2019
130,Tunisia,118,106,106,130,130,2019
64,Turkey,66,40,71,34,90,2019
130,Tuvalu,118,106,106,130,130,2019
31,Uganda,42.17,21,19,68,63,2019
85,Ukraine,76.17,76,100,41,70,2019
130,United Arab Emirates,118,106,106,130,130,2019
102,United Kingdom,90.83,84,105,39,106,2019
90,Uruguay,79.67,84,56,100,91,2019
130,Uzbekistan,118,106,106,130,130,2019
75,Vanuatu,73,106,106,106,7,2019
130,Venezuela,118,106,106,130,130,2019
38,Vietnam,50.17,25,57,32,65,2019
59,Zambia,63.33,80,90,56,32,2019
2,Zimbabwe,6.17,6,2,21,3,2019
